                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.532,                 2.7499,                 1.7404,                0.00377,                 0.7027,                0.18428,                0.06076,                 1.6357,                 3.5223,                 2.0307,                  8e-05,                  8e-05,                  8e-05
                      2,                 1.4238,                 2.4942,                 1.6632,                 0.0042,                0.78378,                0.25944,                0.13796,                 1.6824,                 3.5167,                 2.1142,             0.00017745,             0.00017745,             0.00017745
                      3,                  1.436,                 2.1346,                 1.7188,                0.00464,                0.86486,                 0.3103,                0.15033,                 1.5673,                 3.3432,                 2.0134,             0.00027208,             0.00027208,             0.00027208
                      4,                 1.3203,                 1.7996,                 1.5959,                0.00464,                0.86486,                0.37626,                0.15914,                 1.6785,                 3.3134,                 2.1289,             0.00036388,             0.00036388,             0.00036388
                      5,                 1.4007,                 1.8474,                 1.6246,                0.00464,                0.86486,                0.30922,                0.10264,                 1.8729,                 3.4175,                 2.1743,             0.00045285,             0.00045285,             0.00045285
                      6,                 1.3615,                 1.8623,                 1.5758,                0.77014,                0.27175,                0.38143,                0.15146,                 1.9196,                 3.3476,                  2.247,             0.00053899,             0.00053899,             0.00053899
                      7,                 1.3733,                 1.8464,                 1.6367,                0.44154,                0.10811,                0.18052,                0.06363,                 2.2438,                 3.4228,                 2.6752,              0.0006223,              0.0006223,              0.0006223
                      8,                 1.3225,                 1.8323,                 1.6126,                0.63451,                0.18781,                0.22736,                0.07356,                 2.0824,                 3.4057,                 2.5265,             0.00070278,             0.00070278,             0.00070278
                      9,                 1.3997,                  1.863,                 1.6625,                0.48983,                0.20797,                0.27846,                0.11152,                 2.0336,                 3.2285,                  2.461,             0.00078043,             0.00078043,             0.00078043
                     10,                 1.3148,                 1.6282,                 1.5406,                 0.1741,                0.10811,                0.07535,                 0.0193,                 2.5487,                 3.5955,                 2.7565,             0.00085526,             0.00085526,             0.00085526
                     11,                 1.3691,                 1.6259,                 1.5298,                 0.4767,                0.18919,                0.17504,                0.04403,                 2.5377,                  3.527,                 2.8756,             0.00092726,             0.00092726,             0.00092726
                     12,                 1.3897,                 1.6136,                 1.6049,                0.43147,                0.32432,                0.30276,                 0.1054,                 2.3918,                 3.0697,                  2.981,             0.00099643,             0.00099643,             0.00099643
                     13,                 1.4484,                 1.6866,                 1.6516,                0.69482,                0.27027,                0.29941,                0.09706,                 2.3754,                 3.1242,                 2.9315,              0.0010628,              0.0010628,              0.0010628
                     14,                 1.3616,                 1.6945,                 1.5603,                0.41015,                0.32432,                0.25402,                0.10184,                 2.2619,                 3.4675,                 3.1801,              0.0011263,              0.0011263,              0.0011263
                     15,                 1.4243,                  1.585,                 1.5725,                0.47628,                 0.2973,                0.28101,                0.10307,                 2.0378,                  3.799,                 2.7901,               0.001187,               0.001187,               0.001187
                     16,                 1.2814,                 1.5054,                 1.4983,                0.37851,                0.35135,                0.26422,                  0.101,                 2.2188,                 3.8233,                  3.035,              0.0012448,              0.0012448,              0.0012448
                     17,                 1.4082,                  1.609,                  1.605,                0.27123,                 0.2973,                0.14775,                0.04919,                 2.3021,                 3.8826,                 2.9252,              0.0012998,              0.0012998,              0.0012998
                     18,                 1.3513,                 1.4973,                 1.5337,                0.32153,                 0.2973,                0.16819,                0.04619,                 2.1963,                 4.2804,                 2.7767,               0.001352,               0.001352,               0.001352
                     19,                 1.4954,                 1.5899,                 1.6913,                0.48657,                0.40541,                0.31322,                0.10367,                 2.1095,                 3.5154,                 2.6592,              0.0014014,              0.0014014,              0.0014014
                     20,                 1.3269,                 1.5625,                 1.5557,                0.27284,                0.27027,                0.16763,                0.07411,                 2.6878,                 3.5479,                 3.1952,              0.0014479,              0.0014479,              0.0014479
                     21,                 1.3397,                 1.5403,                 1.5804,                0.20713,                0.16216,                0.11357,                0.02452,                 3.0376,                 3.6829,                 3.4515,              0.0014343,              0.0014343,              0.0014343
                     22,                 1.3253,                 1.5241,                 1.5416,                 0.0984,                0.32432,                0.07309,                0.01927,                 2.9073,                 3.7896,                 3.2953,              0.0014343,              0.0014343,              0.0014343
                     23,                 1.4775,                   1.63,                 1.6891,                0.17363,                0.24324,                0.10744,                0.03278,                 2.5257,                 3.6881,                 2.9443,               0.001406,               0.001406,               0.001406
                     24,                 1.4299,                 1.6097,                 1.6298,                0.31891,                0.35135,                0.24869,                0.09895,                 2.4158,                 3.2361,                 3.0251,              0.0013777,              0.0013777,              0.0013777
                     25,                  1.402,                 1.5532,                 1.5926,                0.28471,                0.32432,                0.17843,                0.03929,                 2.5937,                 3.7199,                 3.3016,              0.0013494,              0.0013494,              0.0013494
                     26,                 1.4029,                 1.5674,                 1.6198,                0.31274,                0.24324,                 0.1271,                 0.0349,                 2.4556,                 3.6584,                 3.2633,              0.0013211,              0.0013211,              0.0013211
                     27,                 1.3902,                 1.4725,                 1.5478,                0.43025,                0.32432,                0.21631,                0.06224,                 2.3686,                 3.4411,                 3.2081,              0.0012929,              0.0012929,              0.0012929
                     28,                 1.4424,                 1.5192,                  1.544,                0.38363,                 0.2973,                0.20215,                0.08536,                 2.3237,                 3.3487,                 2.8714,              0.0012646,              0.0012646,              0.0012646
                     29,                 1.3819,                 1.4184,                 1.5296,                0.66691,                0.35135,                0.35116,                 0.1719,                 2.3384,                 2.6915,                  2.792,              0.0012363,              0.0012363,              0.0012363
                     30,                 1.3132,                 1.3854,                  1.543,                 0.7422,                0.37838,                0.45323,                0.22724,                 2.1246,                 2.4737,                 2.5886,               0.001208,               0.001208,               0.001208
                     31,                 1.3391,                 1.3584,                 1.5024,                 0.7669,                0.43243,                0.45517,                0.21072,                 2.0431,                 2.5321,                 2.7503,              0.0011797,              0.0011797,              0.0011797
                     32,                 1.3321,                 1.4412,                 1.5481,                0.57357,                0.37838,                0.32215,                0.17739,                 2.0835,                 2.7595,                 2.6935,              0.0011514,              0.0011514,              0.0011514
                     33,                 1.2754,                 1.3942,                 1.4772,                0.55216,                0.43243,                0.33069,                0.15754,                 2.0203,                 2.8468,                 2.5401,              0.0011231,              0.0011231,              0.0011231
                     34,                 1.3471,                 1.3578,                 1.5058,                0.59245,                0.40541,                0.34111,                0.13659,                 2.2296,                 2.8631,                 2.8119,              0.0010949,              0.0010949,              0.0010949
                     35,                 1.3088,                 1.3074,                 1.4732,                 0.7876,                0.37838,                0.42411,                  0.149,                 2.3536,                 2.6987,                 2.9208,              0.0010666,              0.0010666,              0.0010666
                     36,                 1.2702,                 1.3814,                 1.4534,                  0.534,                0.45946,                0.39572,                0.14693,                 2.4434,                 2.9354,                 2.9243,              0.0010383,              0.0010383,              0.0010383
                     37,                 1.2214,                 1.3822,                  1.473,                0.56979,                0.43243,                0.40601,                0.18931,                 2.3001,                  2.685,                 2.7271,                0.00101,                0.00101,                0.00101
                     38,                 1.1953,                  1.171,                 1.4288,                0.75511,                0.48649,                0.45969,                0.17414,                 2.2897,                 2.8325,                 2.6841,             0.00098171,             0.00098171,             0.00098171
                     39,                 1.2393,                 1.1884,                 1.4256,                0.70294,                0.43243,                0.44315,                0.18345,                  2.393,                 2.8442,                  2.842,             0.00095343,             0.00095343,             0.00095343
                     40,                  1.304,                 1.3425,                  1.496,                0.72192,                0.48649,                0.48418,                0.19878,                 2.3204,                 2.7073,                 2.7767,             0.00092514,             0.00092514,             0.00092514
                     41,                 1.2012,                  1.195,                 1.4502,                0.63007,                0.48649,                0.49346,                0.19095,                 2.2081,                 2.5418,                 2.6955,             0.00089686,             0.00089686,             0.00089686
                     42,                 1.1955,                 1.1934,                 1.3982,                0.48989,                0.43243,                0.42727,                0.18908,                 2.2533,                 2.4771,                 2.6299,             0.00086857,             0.00086857,             0.00086857
                     43,                 1.1402,                 1.1077,                 1.3312,                  0.599,                0.43243,                0.46209,                0.20604,                 2.2283,                 2.3624,                 2.6171,             0.00084029,             0.00084029,             0.00084029
                     44,                 1.1665,                 1.1888,                 1.4054,                0.67078,                0.51351,                0.48211,                0.22201,                 2.1723,                 2.1553,                 2.5995,               0.000812,               0.000812,               0.000812
                     45,                 1.1788,                 1.1103,                 1.4041,                0.67816,                0.54054,                0.48801,                0.22132,                 2.2003,                 2.1948,                 2.5902,             0.00078371,             0.00078371,             0.00078371
                     46,                 1.2092,                 1.1597,                 1.4405,                0.68246,                0.48649,                0.45994,                0.22119,                 2.1332,                 2.1541,                 2.5195,             0.00075543,             0.00075543,             0.00075543
                     47,                 1.2345,                  1.196,                 1.4426,                0.62422,                0.43243,                0.44079,                0.23759,                 2.1183,                  2.182,                 2.5661,             0.00072714,             0.00072714,             0.00072714
                     48,                  1.217,                 1.2558,                 1.4218,                0.44808,                0.54054,                0.46298,                0.19223,                 2.2586,                 2.1747,                 2.6559,             0.00069886,             0.00069886,             0.00069886
                     49,                 1.2229,                 1.1776,                 1.4288,                0.55765,                0.35135,                 0.3787,                0.14653,                 2.3737,                 2.2112,                 2.6856,             0.00067057,             0.00067057,             0.00067057
                     50,                 1.1447,                   1.18,                 1.3967,                  0.537,                0.40541,                0.41947,                0.18513,                 2.3037,                 2.1652,                 2.6764,             0.00064229,             0.00064229,             0.00064229
                     51,                 1.1332,                 1.1704,                 1.4129,                0.57552,                0.35135,                0.43848,                0.18548,                 2.3252,                 2.1624,                 2.6703,               0.000614,               0.000614,               0.000614
                     52,                 1.1087,                 1.0712,                  1.374,                0.71548,                0.43243,                0.52279,                0.23134,                 2.1828,                 2.0997,                  2.569,             0.00058571,             0.00058571,             0.00058571
                     53,                 1.1204,                 1.0231,                 1.3704,                0.71178,                0.46745,                0.52887,                0.25823,                 2.0657,                 2.0444,                 2.5099,             0.00055743,             0.00055743,             0.00055743
                     54,                 1.0724,                 1.0612,                 1.3603,                0.79938,                0.54054,                0.60231,                0.26472,                 2.1409,                 1.9419,                 2.6099,             0.00052914,             0.00052914,             0.00052914
                     55,                 1.0967,                 1.0402,                 1.3457,                0.82461,                0.54054,                0.60942,                0.26804,                 2.2103,                 1.8756,                 2.6709,             0.00050086,             0.00050086,             0.00050086
                     56,                 1.0715,                 1.0454,                 1.3705,                0.81754,                0.56757,                 0.5905,                0.26792,                 2.2386,                 1.9205,                 2.6599,             0.00047257,             0.00047257,             0.00047257
                     57,                 1.0253,                 1.0175,                 1.3207,                0.81324,                0.56757,                 0.5841,                0.25825,                 2.2234,                 1.8123,                 2.6572,             0.00044429,             0.00044429,             0.00044429
                     58,                 1.0245,                0.97322,                 1.2978,                0.83881,                0.56275,                0.57584,                0.25478,                 2.1828,                 1.8378,                 2.5871,               0.000416,               0.000416,               0.000416
                     59,                  1.009,                 1.0257,                 1.3311,                0.80001,                0.56757,                 0.5673,                0.25849,                 2.1326,                 1.8475,                 2.5702,             0.00038771,             0.00038771,             0.00038771
                     60,                 1.0458,                 1.0383,                 1.3266,                0.74799,                0.56171,                0.55029,                 0.2531,                 2.0706,                 1.8698,                 2.5263,             0.00035943,             0.00035943,             0.00035943
                     61,                 1.0804,                 1.2004,                 1.3981,                0.71791,                0.55049,                0.52908,                0.24749,                 2.0146,                  1.942,                 2.4714,             0.00033114,             0.00033114,             0.00033114
                     62,                 1.1097,                 1.2957,                 1.3624,                0.69618,                0.56757,                0.52822,                0.25236,                 2.0063,                  1.922,                 2.5204,             0.00030286,             0.00030286,             0.00030286
                     63,                 1.0102,                 1.1875,                 1.3911,                0.70815,                0.56757,                0.52073,                0.25319,                 2.0171,                 1.8831,                 2.5801,             0.00027457,             0.00027457,             0.00027457
                     64,                0.97042,                 1.0455,                 1.3263,                 0.7345,                0.56757,                0.51773,                0.24356,                 1.9952,                 1.8864,                 2.5715,             0.00024629,             0.00024629,             0.00024629
                     65,                  1.024,                 1.0915,                 1.3555,                0.73913,                0.53616,                0.51205,                 0.2462,                 2.0421,                 1.9383,                 2.5977,               0.000218,               0.000218,               0.000218
                     66,                0.98739,                 1.0623,                 1.3432,                0.74003,                 0.5386,                 0.4827,                0.23531,                 2.0657,                 1.9555,                 2.6026,             0.00018971,             0.00018971,             0.00018971
                     67,                0.98193,                 1.0791,                 1.3375,                0.73571,                0.54054,                0.49253,                0.24198,                  2.044,                 1.9322,                 2.5838,             0.00016143,             0.00016143,             0.00016143
                     68,                0.98743,                 1.0373,                 1.3209,                0.73419,                0.54054,                0.50193,                0.24736,                 2.0111,                 1.9272,                 2.5419,             0.00013314,             0.00013314,             0.00013314
                     69,                0.96804,                 1.0301,                 1.2816,                0.73424,                0.54054,                0.49562,                0.24068,                 2.0172,                 1.9264,                 2.5429,             0.00010486,             0.00010486,             0.00010486
                     70,                0.92355,                0.99456,                 1.3067,                0.77048,                0.56757,                0.51187,                0.24975,                 2.0122,                 1.9308,                 2.5336,             7.6571e-05,             7.6571e-05,             7.6571e-05
